ctxkey,pattern,histlen,pc,bw,bctx
2782,49444870,6,18446744071586253846,2,18446744071589333584
2782,301031430,6,18446744071586253905,2,18446744071589333584
2782,431516678,6,18446744071586254107,2,18446744071589333584
2782,479416326,6,18446744071586254116,2,18446744071589333584
2782,176900102,6,18446744071586253974,2,18446744071589333584
2782,433838082,2,18446744071586253740,2,18446744071589333584
14702,68834313,9,140323397921370,2,140323397561758
661,463171594,10,18446744071587234234,2,18446744071587234219
8488,9049094,6,18446744071579221138,2,18446744071586248624
1522,33413144,24,140323398475592,2,140323398475342
4910,289648650,10,18446744071579368421,2,18446744071579369834
4910,260077577,9,18446744071579368540,2,18446744071579369834
2782,79697926,6,18446744071586253954,2,18446744071589333584
1522,44903450,26,140323398475592,2,140323398475342
661,490137614,14,18446744071587234234,2,18446744071587234219
2842,311971853,13,18446744071579358459,2,18446744071579368580
4910,478773254,6,18446744071579368451,2,18446744071579369834
7924,163077122,2,140323398461753,2,140323398470600
14272,160143366,6,18446744071579373237,2,18446744071579373204
2842,532862982,6,18446744071579358442,2,18446744071579368580
3130,390687758,14,140323390016892,2,140323406626342
15811,67187724,12,140323408555480,2,140323389230191
3130,509192211,19,140323390016892,2,140323406626342
1032,55240713,9,18446744071580403219,2,18446744071580402570
8593,390687758,14,140323390016892,2,18446744071578998699
10500,94372876,12,140323398462008,2,140323391273946
1886,445444112,16,140323398461982,2,140323397913946
15625,498606086,6,18446744071579334754,2,18446744071578954631
12901,339772418,2,140323398442612,2,140323389312663
15625,410754057,9,18446744071579334775,2,18446744071578954631
12109,485505030,6,18446744071586904836,2,18446744071579327207
1886,7963668,20,140323398462014,2,140323397913946
11907,138076169,9,18446744071585554477,2,18446744071585617955
667,56934414,14,18446744071578954254,2,18446744071587234253
11515,20013071,15,18446744071579168492,2,18446744071586904329
12222,482577414,6,18446744071586904454,2,18446744071579368102
6553,149672969,9,18446744071585143808,2,18446744071579421227
3137,55791622,6,18446744071579369543,2,18446744071579359949
8871,186769414,6,18446744071579537974,2,18446744071579555161
667,268457993,9,18446744071578954284,2,18446744071587234253
667,643084,12,18446744071578954366,2,18446744071587234253
2782,296381446,6,18446744071585603187,2,18446744071589333584
14560,146292746,10,18446744071579369876,2,18446744071579413318
8488,350412817,17,18446744071579221125,2,18446744071586248624
2782,68841482,10,18446744071586253974,2,18446744071589333584
713,278653965,13,18446744071578954168,2,18446744071587234207
433,378662918,6,18446744071580606179,2,18446744071580609323
14448,113032208,16,18446744071579380097,2,18446744071579368600
8907,65731590,6,18446744071579334964,2,18446744071586904789
10500,327625741,13,140323398461982,2,140323391273946
6544,20689922,2,140323396848875,2,140323388538898
2782,282180614,6,18446744071586253740,2,18446744071589333584
3277,188286985,9,18446744071586904729,2,18446744071579336415
13489,33413144,24,140323398475592,2,140323398461165
2782,41598982,6,18446744071585645427,2,18446744071589333584
12222,194205702,6,18446744071586904674,2,18446744071579368102
1522,407459859,19,140323398475592,2,140323398475342
13832,438840330,10,18446744071580403171,2,18446744071586905468
15856,443780108,12,18446744071579221138,2,18446744071589333584
12222,181592070,6,18446744071586904536,2,18446744071579368102
11332,253394950,6,18446744071585554477,2,18446744071586248632
15361,163124230,6,18446744071586253624,2,18446744071585554577
713,26628113,17,18446744071578954192,2,18446744071587234207
13223,328328201,9,140323398753447,2,140323390894359
12081,437646364,28,140323396279069,2,140323389200825
3234,374380550,6,18446744071586904984,2,18446744071579335020
12081,447384604,28,140323396279082,2,140323389200825
661,489619472,16,18446744071587234234,2,18446744071587234219
12131,401624074,10,140323406909631,2,18446744071578998885
12222,6516742,6,18446744071586904376,2,18446744071579368102
11940,99700746,10,18446744071586878896,2,18446744071579556916
8613,462504976,16,18446744071580609344,2,18446744071580606267
7287,535887878,6,18446744071586253624,2,18446744071585554577
11334,515615750,6,18446744071579339013,2,18446744071579354842
2486,112368646,6,18446744071579556946,2,18446744071582336300
8068,327625741,13,140323398461982,2,140323397913946
4116,322518022,6,140323390893563,2,140323387757936
14272,336031763,19,18446744071579373228,2,18446744071579373204
6980,318300166,6,18446744071585159784,2,18446744071585166916
9876,388225030,6,18446744071582320765,2,18446744071586905468
13517,302720006,6,18446744071582310632,2,18446744071582313847
10818,394843142,6,18446744071585234166,2,18446744071585206964
9851,320345094,6,18446744071585554477,2,18446744071585645435
1475,232973318,6,18446744071585611582,2,18446744071585611411
13702,463129602,2,18446744071579344054,2,18446744071579327730
7850,12302346,10,18446744071586029016,2,18446744071585167340
5844,169706514,18,140323392349025,2,140323406616846
11381,397613062,6,18446744071585950162,2,18446744071585948623
12222,10714118,6,18446744071586904568,2,18446744071579368102
4502,8100870,6,18446744071579996009,2,18446744071586063008
16209,272858118,6,18446744071578954692,2,18446744071578954459
8511,238244870,6,18446744071586001795,2,18446744071586280959
13098,51935238,6,18446744071585166133,2,18446744071586003268
8578,51770382,14,18446744071585930302,2,18446744071585554592
12281,274805769,9,18446744071585947364,64,18446744071589333600
7556,3319814,6,18446744071582314741,2,18446744071585975676
10965,81045517,13,140323396493399,2,140323396493309
7617,92453904,16,140323390387180,2,140323406635405
12456,227144726,22,140323390913835,2,140323398799304
14500,479290377,9,18446744071581813162,2,18446744071580505192
3052,290003977,9,18446744071585233811,2,18446744071585216894
6839,248668166,6,18446744071586089166,2,18446744071585930231
1013,145276937,9,18446744071585181125,2,18446744071579421095
6101,473652230,6,140322915198825,2,140323041798267
9329,219253766,6,18446744071585982395,2,18446744071585166139
11921,334622730,10,140322915193499,2,140322915154869
12081,499691546,26,140323396279069,2,140323389200825
