ctxkey,pattern,histlen,pc,bw,bctx
7092,135964678,6,18446744071579740220,2,18446744071578860696
7092,290535433,9,18446744071579740434,2,18446744071578860696
1677,340500486,6,18446744072100418053,2,18446744071579743317
2486,514390025,9,18446744071579556923,2,18446744071582336300
7092,363061254,6,18446744071579740401,2,18446744071578860696
11940,371316742,6,18446744071586878998,2,18446744071579556916
1772,525393926,6,18446744071578859894,2,18446744072100418092
1772,15458310,6,18446744071578859921,2,18446744072100418092
8763,535480330,10,18446744071579521625,2,18446744071582336589
14486,473582618,26,18446744071578860219,2,18446744071579556958
1772,471521290,10,18446744071578860105,2,18446744072100418092
6639,367682566,6,18446744071580264168,2,18446744071580247059
13503,369366052,36,18446744071580467443,2,18446744071580248791
13676,315174921,9,18446744071580264503,2,18446744071580249334
13558,536450054,6,18446744071579165906,2,18446744071586915742
10393,46297124,36,18446744071580266324,64,18446744071580248830
5425,380347408,16,18446744071580263721,2,18446744071580467405
12401,53075974,6,18446744071579521945,2,18446744071579521853
9493,91358244,36,140440773549185,2,140440761342995
6972,526496782,14,18446744071579144601,2,18446744071579148340
1772,258088966,6,18446744071578860038,2,18446744072100418092
13327,38074404,36,140440270671978,2,140440400906735
4522,375244828,28,140440270671322,2,140440402243732
8871,186769414,6,18446744071579537974,2,18446744071579555161
2486,112368646,6,18446744071579556946,2,18446744071582336300
14391,326884358,6,18446744071581074119,2,18446744071581055697
12388,220211209,9,18446744071579521893,2,18446744071579537830
857,526097422,14,140440402181882,2,18446744071587234147
13327,238223392,32,140440270671978,2,140440400906735
13889,370856992,32,140440402182551,2,18446744071587234077
13969,30330916,36,18446744071579536898,2,18446744071579556899
9493,235537423,15,140440773549185,2,140440761342995
13889,524486674,18,140440401867016,2,18446744071587234077
10856,163780617,9,18446744071581058161,2,18446744071582088872
10672,99241994,10,18446744071582371889,2,18446744071589333584
389,212535302,6,18446744071579148648,2,18446744071579148633
13969,121036826,26,18446744071579536898,2,18446744071579556899
11368,433663008,32,140440766118985,64,140440766119078
1115,4745218,2,140440768041789,2,140440766177655
10672,447782918,6,18446744071582371767,2,18446744071589333584
10393,425383968,32,18446744071580266324,64,18446744071580248830
1677,278546441,9,18446744072100418043,2,18446744071579743317
13327,392658976,32,140440270671690,2,140440400906735
13327,170205210,26,140440270671690,2,140440400906735
13969,373983264,32,18446744071579536898,2,18446744071579556899
13969,378881060,36,18446744071579536898,2,18446744071579556899
1791,53078025,9,18446744071580263924,2,18446744071580247105
4522,308758556,28,140440270672250,2,140440402243732
10785,205649929,9,140440402738926,2,140440401942463
4147,457725961,9,18446744071586870150,2,18446744071586871153
14391,443160578,2,18446744071581074119,2,18446744071581055697
4147,342761485,13,18446744071586870150,2,18446744071586871153
10785,201507846,6,140440402738926,2,140440401942463
