ctxkey,pattern,histlen,pc,bw,bctx
5232,26597408,32,18870307,2,19004364
10302,323054594,2,28344944,2,27677190
2549,279598082,2,21891497,2,21884547
5232,444587032,24,18870307,2,19004364
4395,301118470,6,22210371,2,21774433
5232,351419410,18,18870307,2,19004364
5232,98076698,26,18870307,2,19004364
10744,336377877,21,22142737,2,19078720
14882,469809172,20,22195806,2,22195062
10392,447917066,10,21850989,2,21850872
15887,353604644,36,21965132,64,22280848
4395,382389254,6,22210371,2,21774433
4395,513488902,6,22210371,2,21774433
4395,203852816,16,22210371,2,21774433
4395,33933325,13,22210371,2,21774433
10392,25838602,10,21850884,2,21850872
8666,67827718,6,21829317,2,21827568
3564,402185222,6,21910665,2,21906648
55,418068490,10,21905346,2,21774361
12844,525527050,10,21905381,2,21845024
12085,250277890,2,22011645,2,22003059
1857,91426825,9,22104857,2,21774497
5387,96242710,22,22117609,2,18494627
10112,266126362,26,22182218,64,21853170
15887,178143264,32,21965132,64,22280848
6772,177726485,21,18869855,2,19052510
15405,330448902,6,21649896,2,25939921
5387,361374752,32,22117592,2,18494627
10302,187001870,14,28344944,2,27677190
10392,467805190,6,21850989,2,21850872
14661,299972614,6,25946290,2,22136003
6353,33630244,36,22068057,2,22097745
11684,445512740,36,22247481,2,25940180
10415,505007110,6,21850980,2,21850831
6353,266230820,36,22067817,2,22097745
14882,34635787,11,22195806,2,22195062
14882,330996756,20,22195777,2,22195062
10415,137505798,6,21850778,2,21850831
7275,43413540,36,21965132,2,22079819
2549,220982308,36,21891479,2,21884547
10392,43717638,6,21850856,2,21850872
10744,73720860,28,22142737,2,19078720
10392,153292806,6,21850884,2,21850872
2307,294328326,6,22135978,2,139952163856067
2262,419909652,20,21997266,2,26000194
13467,437452809,9,21810341,2,21905017
8979,454057994,10,22062755,2,22060785
10415,79747088,16,21850970,2,21850831
12259,240420888,24,22133296,2,22137253
12834,254449696,32,22161615,2,27749432
14818,304543757,13,22050945,2,25940180
7275,46225440,32,21965132,2,22079819
10151,312196102,6,22109769,2,21922967
3459,277451786,10,21903406,2,22110105
14966,344638473,9,28461258,2,25940180
3459,217934862,14,21903416,2,22110105
5232,510188564,20,18870307,2,19004364
12045,129070096,16,21805750,2,21830193
10151,421723145,9,22109769,2,21922967
10151,418989062,6,22109769,2,21922967
9040,69388294,6,21809634,2,21905038
12222,459940870,6,21845005,2,21844942
48,197861382,6,21850884,2,21774366
2262,35252245,21,21997274,2,26000194
3023,111239177,9,21965483,2,22280725
14818,169805841,17,22050910,2,25940180
5387,508777487,15,22117609,2,18494627
1926,360205348,36,25940165,2,22248412
14743,224252946,18,21965483,64,22280848
14818,398625811,19,22050945,2,25940180
12085,508264469,21,22011628,2,22003059
14882,269874202,26,22195777,2,22195062
11129,3502104,24,22182218,2,25939921
14743,234544152,24,21965483,64,22280848
14818,6217752,24,22050910,2,25940180
7491,1828888,24,22117592,2,18494469
14882,193380376,24,22195806,2,22195062
2262,208723982,14,21997266,2,26000194
5490,513213468,28,21964257,64,22247661
2549,216267804,28,21891479,2,21884547
10415,446087188,20,21850851,2,21850831
2262,464193545,9,21997274,2,26000194
15887,116134944,32,21965483,64,22280848
14882,357663776,32,22195777,2,22195062
5560,346621973,21,21837757,2,61699872
389,104043526,6,21774415,2,22279709
7705,15754246,6,22189948,2,21902821
9079,300136454,6,21972028,2,25939921
9079,37432329,9,21968879,2,25939921
5890,234235919,15,21902970,2,22115680
8979,240406560,32,22060762,2,22060785
1424,311815181,13,21855194,2,61699760
11035,124252184,24,22025174,2,25939921
