ctxkey,pattern,histlen,pc,bw,bctx
5760,451344420,36,350835950,2,356119120
9884,432102412,12,363907881,2,350843124
1684,95885344,32,350835915,2,350562356
6832,142837792,32,352222526,2,140104761913552
10392,71477262,14,352974187,2,344831242
1684,534390812,28,350835938,2,350562356
1684,245955616,32,350835950,2,350562356
3593,304099330,2,350626102,2,366361191
13894,363525132,12,350804115,2,356125774
13894,138212376,24,350804115,2,356125774
4319,137741325,13,350634074,2,356119379
1684,412276772,36,350835938,2,350562356
3959,496881696,32,353073542,2,353073225
6832,440076314,26,352222526,2,140104761913552
16274,403955718,6,355305716,2,348247912
6832,167634980,36,352222526,2,140104761913552
1684,432882716,28,350835915,2,350562356
9883,77219850,10,140104762769014,2,140104763039353
12626,376472586,10,140104763038018,2,140104763036782
1684,299858980,36,350835915,2,350562356
10217,481786908,28,355372371,2,355372407
1684,61689884,28,350835950,2,350562356
1684,451344420,36,350835950,2,350562356
1528,423356418,2,353066731,2,344831242
2173,136410132,20,350763039,2,350763051
8275,208817188,36,355337512,2,355337537
1566,386116610,2,351936491,2,350688556
6155,53902372,36,355340599,2,355340937
16255,497632292,36,350745697,64,355372603
11634,142119948,12,350729719,2,344704716
7836,25272330,10,140104762769211,2,140104763039844
3835,398627846,6,351563537,2,351563283
3836,365609990,6,140104762769016,2,140104763035996
13894,411126805,21,350804115,2,356125774
15265,434783243,11,355413853,2,350562039
13894,272268302,14,350804115,2,356125774
5709,116316192,32,350750466,2,355372407
4319,511739910,6,350634134,2,356119379
2646,346221584,16,351606845,2,140104762769178
5349,239503392,32,350749110,2,355372555
15225,408581148,28,355372371,64,350745838
5900,100917270,22,351615257,2,351648660
5349,82515996,28,350749110,2,355372555
2637,316331017,9,352786024,2,350562039
13894,142148617,9,350804115,2,356125774
5700,268213280,32,355372537,64,355372445
2637,43044870,6,352786487,2,350562039
15395,465633297,17,353137571,2,353137441
14274,321003526,6,352950311,2,352948730
16274,410149914,26,355305663,2,348247912
6832,303206422,22,352222526,2,140104761913552
11031,286278666,10,350744217,2,350562041
13896,102101006,14,140104763036860,2,351657072
13894,272853024,32,350804127,2,356125774
10977,137312284,28,350746498,2,350749081
13752,351827996,28,350562334,2,356119120
2451,123913226,10,140104763110394,2,351617669
10393,174244874,10,140104763110394,2,351617697
5349,211629082,26,350749110,2,355372555
6460,80962566,6,351658102,2,140104763110684
8353,174782481,17,359147374,2,355413331
21,188793862,6,350596531,2,352977011
6460,316869638,6,351655231,2,140104763110684
15902,261751825,17,355191289,2,350562090
10977,93447200,32,350746498,2,350749081
16255,325136416,32,350745697,64,355372603
2173,20528160,32,350763039,2,350763051
15508,176957472,32,352988022,2,352988044
3475,334519312,16,355413701,2,355413331
6153,530932764,28,352785622,2,352786013
5855,279546916,36,353034287,2,350562635
6002,1035280,16,352979844,2,345244102
16274,336816130,2,355305624,2,348247912
5906,100341766,6,140104763036909,2,140104762768978
9424,47751174,6,140104763110394,2,351653608
13754,87609354,10,350738389,2,355413788
1639,351201300,20,350562141,2,350562177
13459,161650710,22,352785970,2,352788139
11200,166034445,13,351654931,2,781383184
13894,403479580,28,350804127,2,356125774
5929,282595349,21,351648642,2,351648689
804,412220425,9,350744042,2,345244102
11634,111741963,11,350729560,2,344704716
6460,339249166,14,351655265,2,140104763110684
1497,372925449,9,140104763110394,2,351653583
9884,55910414,14,363908036,2,350843124
2637,148597784,24,352784040,2,350562039
10217,66155544,24,355372371,2,355372407
15225,171094048,32,355372371,64,350745838
10217,157890596,36,355372371,2,355372407
2828,419120143,15,350829102,2,350829770
1003,60000258,2,354040208,2,356119379
3475,20071442,18,355413325,2,355413331
2960,444085254,6,352786726,2,350562090
10977,374206500,36,350746498,2,350749081
5967,68463633,17,351648642,2,351648727
1684,388923418,26,350835915,2,350562356
5709,336984100,36,350750466,2,355372407
14377,360218636,12,350729719,2,350729695
3842,8993801,9,353073554,2,353073918
3959,527891477,21,353073379,2,353073225
11219,364018702,14,352786726,2,352786013
13545,6147096,24,350562334,2,364356737
6832,131766286,14,352222526,2,140104761913552
5709,20223002,26,350750466,2,355372407
6881,468344838,6,353136975,2,356119379
13896,313468942,14,140104763036370,2,351657072
2828,319870985,9,345243852,2,352979072
11634,331064329,9,350729719,2,344704716
13894,290956324,36,350804127,2,356125774
5700,51396640,32,355372537,64,355372445
9797,526716960,32,353363933,2,350562635
242,254379010,2,352949556,2,356119120
1639,159425553,17,350562141,2,350562177
2678,299940892,28,355706473,2,350871054
98,151682050,2,352948678,2,351415562
3475,336441358,14,355413283,2,355413331
10980,359245826,2,352965171,2,781382800
7577,301467650,2,355690289,2,354999663
10556,157843466,10,344895757,2,352979802
11123,377828388,36,350735075,2,355706611
1684,281808920,24,350835938,2,350562356
6569,354952205,13,350838796,2,355846975
7342,219808770,2,352965076,2,352964410
13138,262858764,12,351617935,2,781383184
11577,243442690,2,352298728,2,352298485
14546,327710746,26,350562334,2,350836606
3658,254379010,2,352949556,2,351416068
3579,107942928,16,355847999,2,350855921
13325,376768538,26,355413831,2,355413675
2637,331576335,15,352787017,2,350562039
13894,78201872,16,350804115,2,356125774
5709,527677468,28,350750466,2,355372407
16033,220757001,9,363910340,2,363911033
9085,321003526,6,352950311,2,352934819
3842,145402886,6,353073542,2,353073918
2828,427751438,14,345244003,2,352979072
2883,408317967,15,350763006,2,350763461
9920,69738502,6,351554330,2,356119120
3579,76553225,9,355847859,2,350855921
13894,48597018,26,350804127,2,356125774
9746,476682249,9,351607235,2,351607128
5349,195339300,36,350749110,2,355372555
6460,92185615,15,351656057,2,140104763110684
1639,409410576,16,350562141,2,350562177
13138,428574731,11,351619221,2,781383184
4472,48969740,12,352979084,2,345244102
6460,462103562,10,351620834,2,140104763110684
3579,267724814,14,355847936,2,350855921
6460,188811270,6,351619602,2,140104763110684
1679,311541774,14,350838248,2,350838633
10556,503362576,16,344895757,2,352979802
5709,141972504,24,350750466,2,355372407
6153,445259812,36,352784040,2,352786013
10556,271727628,12,344895757,2,352979802
