ctxkey,pattern,histlen,pc,bw,bctx
15295,239106080,32,139997552209265,2,139997550749375
425,91814918,6,18446744072100385689,2,18446744071579740533
1677,443128841,9,18446744072100385610,2,18446744071579743317
8871,186769414,6,18446744071579537974,2,18446744071579555161
8763,182110217,9,18446744071579521625,2,18446744071582336589
2169,226720774,6,18446744071579555104,2,18446744071578860737
15295,86232100,36,139997552209265,2,139997550749375
2486,164769802,10,18446744071579556946,2,18446744071582336300
2486,119076874,10,18446744071579556923,2,18446744071582336300
15295,530710556,28,139997552209265,2,139997550749375
425,98020366,14,18446744072100385713,2,18446744071579740533
425,292353038,14,18446744072100386383,2,18446744071579740533
14380,83651612,28,139997908621595,2,139997908621284
2992,355744782,14,139997549221390,2,139997420011734
15295,38749206,22,139997552209265,2,139997550749375
15295,76987409,17,139997552209265,2,139997550749375
7921,101934089,9,139997549820490,2,139997549682623
111,156435458,2,139997552734926,2,139997549330379
6153,367129606,6,139997553004197,2,139997549881247
14191,453705760,32,139997900761028,64,139997900761265
425,143556625,17,18446744072100386113,2,18446744071579740533
1483,430759949,13,139997420244729,2,139997549157207
3981,234788879,15,139997550429611,2,139997420012387
1053,345135110,6,18446744071586916071,2,18446744071579421087
661,463171594,10,18446744071587234234,2,18446744071587234219
2105,351521798,6,18446744071580402581,2,18446744071580402625
14191,56133658,26,139997900761028,64,139997900761265
425,123126797,13,18446744072100385733,2,18446744071579740533
13666,474616860,28,139997550213585,64,139997551083343
2717,57805830,6,139997552044271,64,139997552043636
2992,238659590,6,139997420011372,2,139997420011734
11002,98041868,12,139997549487591,2,139997549221596
661,490137614,14,18446744071587234234,2,18446744071587234219
13461,84983821,13,139997550832721,2,139997548720595
3786,149019657,9,139997549487591,2,139997549221596
12159,410110989,13,139997420244729,2,139997549162979
15295,205666336,32,139997552209265,2,139997550749375
425,429535238,6,18446744072100387359,2,18446744071579740533
8022,4325382,6,18446744071579370108,2,18446744071579360426
13214,302181398,22,139997549994611,2,139997549993792
15295,119786532,36,139997552209265,2,139997550749375
5847,275182624,32,139997551272670,64,139997549121152
15703,524189709,13,139997420011372,2,139997549487563
425,35692550,6,18446744072100385863,2,18446744071579740533
389,212535302,6,18446744071579148648,2,18446744071579148633
11159,242481158,6,139997551474506,2,139997549493289
13421,186181638,6,18446744071580264238,2,18446744071580249237
389,233340934,6,18446744071579148682,2,18446744071579148633
12613,318477322,10,139997547713453,2,139997909684713
389,373884934,6,18446744071579148734,2,18446744071579148633
6639,367682566,6,18446744071580264168,2,18446744071580247059
13676,400183302,6,18446744071580264503,2,18446744071580249334
12613,244464650,10,139997547713527,2,139997909684713
8771,36344842,10,18446744071580249278,2,18446744071580245903
661,439058438,6,18446744071587234234,2,18446744071587234219
13461,480165909,21,139997550832598,2,139997548720595
11674,102437899,11,18446744071580264080,2,18446744071580264054
14396,246620192,32,139997549801450,64,139997554986183
9366,379664394,10,139997420012377,2,139997549945762
5107,337267748,36,139997555036218,2,139997549109657
15295,81229850,26,139997552209265,2,139997550749375
9366,344984586,10,139997420012305,2,139997549945762
583,393404430,14,139997420011372,2,139997550838625
15295,119704612,36,139997552209265,2,139997550749375
2954,161109001,9,139997554986234,2,139997551083404
13461,96197653,21,139997550832721,2,139997548720595
7502,163214342,6,139997909683976,2,139997898866528
15703,211467270,6,139997420011372,2,139997549487563
5847,274916384,32,139997551272670,64,139997549121152
4910,187737094,6,18446744071579368421,2,18446744071579369834
4910,403211273,9,18446744071579368451,2,18446744071579369834
7502,100738054,6,139997909683999,2,139997898866528
12159,413683718,6,139997420244729,2,139997549162979
425,18823188,20,18446744072100386663,2,18446744071579740533
3501,392380425,9,139997549848698,2,139997549682643
8613,210338822,6,18446744071580609344,2,18446744071580606267
6909,33117196,12,139997549524007,2,139997548690403
12343,523538445,13,139997420011372,2,139997549487563
2842,330351622,6,18446744071579358459,2,18446744071579368580
14438,249045016,24,139997908618286,2,139997899550554
15295,205531168,32,139997552209265,2,139997550749375
5847,4645920,32,139997551272670,64,139997549121152
425,220697617,17,18446744072100385903,2,18446744071579740533
1483,238687247,15,139997420011464,2,139997549157207
4920,369366052,36,18446744071580467443,64,18446744071580248791
6745,45295622,6,139997550559560,2,139997549157207
