ctxkey,pattern,histlen,pc,bw,bctx
7092,156817414,6,18446744071579740434,2,18446744071578860696
7092,363061254,6,18446744071579740401,2,18446744071578860696
2591,62012430,14,140116307476335,2,140116300823697
11940,148615178,10,18446744071586878998,2,18446744071579556916
1677,52103174,6,18446744072100418345,2,18446744071579743317
2882,227571723,11,18446744071587233999,2,18446744071578858382
51,234513417,9,140116300587318,2,140116306620261
7092,4381706,10,18446744071579740220,2,18446744071578860696
13403,159934466,2,140116308599613,2,140116306735479
6942,37230602,10,140116308163873,2,140116297400160
1936,15458310,6,18446744071578859921,2,18446744072100418384
6313,11039754,10,140116308164876,2,140116302683741
5393,434767881,9,140116300817103,2,140116300817079
1677,394513417,9,18446744072100418382,2,18446744071579743317
281,31650818,2,140115929646043,2,140115930078487
1142,166430735,15,140116302037407,2,140116302037394
4610,85499914,10,140116308162470,2,140116300659772
8763,535480330,10,18446744071579521625,2,18446744071582336589
14919,465027086,14,140116302104292,2,140116302083165
2882,331961354,10,18446744071587234027,2,18446744071578858382
1677,300494854,6,18446744072100418335,2,18446744071579743317
14956,56754193,17,140116300497638,2,140116302022384
5313,91468806,6,18446744071579538049,2,18446744071579549697
5066,400664587,11,140116313982386,2,140116301851696
11887,168848390,6,140116306643783,2,140116300532293
13056,205939736,24,140116307166107,2,140116308631308
12081,429978656,32,140116302104455,64,140116302103963
1142,369102862,14,140116302037407,2,140116302037394
15276,114265108,20,140116302683635,2,140116308161104
3762,22021140,20,140116302037418,2,140116302088076
14318,432651274,10,18446744071578860691,2,140730055452296
2936,135420940,12,140116300497638,2,140116302037856
1142,76565522,18,140116302037407,2,140116302037394
607,57894926,14,140116302037353,2,140116302087327
3762,279798803,19,140116302085683,2,140116302088076
4891,5916678,6,140116302092876,2,140116302092859
3762,141949970,18,140116302037418,2,140116302088076
1779,338183177,9,18446744071579412868,2,18446744071579359591
13819,360223750,6,18446744071578860711,2,18446744072100418395
15921,318813186,2,140115930891856,2,140115932696599
12630,327121938,18,140116302037407,2,140116302085710
3762,60551188,20,140116302037418,2,140116302088076
3762,501969935,15,140116302037418,2,140116302088076
2486,514390025,9,18446744071579556923,2,18446744071582336300
2486,164769802,10,18446744071579556946,2,18446744071582336300
563,284923906,2,140115930313344,2,140115932563189
6035,73504778,10,140116300818215,2,140116306620261
51,123951121,17,140116300587318,2,140116306620261
51,192314382,14,140116300587328,2,140116306620261
6682,260253717,21,140116307472190,2,140116306592930
2216,316666896,16,140115932563359,2,140115800344494
13403,390130700,12,140116308599608,2,140116306735479
8375,157847558,6,140116300823823,2,140116300823781
7104,100108316,28,140116300823293,64,140116300824059
5916,378399763,19,140116301854405,2,140116308294252
3937,73932809,9,140116300817087,2,140116306570793
10912,340849680,16,140115932509954,2,140115800344494
7447,22511629,13,140116305102497,2,140116306629867
