ctxkey,pattern,histlen,pc,bw,bctx
16136,190399490,2,584200314,2,338481972
13956,389881892,36,584200314,2,554670510
13630,389881892,36,584200314,2,554670612
13442,298905602,2,565510147,2,565508914
1044,464875556,36,584203134,2,338481724
1044,460821540,36,584203117,2,338481724
13442,135454731,11,565510147,2,565508914
16136,367537184,32,584200301,2,338481972
13630,367537184,32,584200301,2,554670612
13956,367537184,32,584200301,2,554670510
13442,177926157,13,565510147,2,565508914
14798,202585114,26,556619444,2,556612320
1044,456963100,28,584203117,2,338481724
13956,114832412,28,584200301,2,554670510
13956,144317454,14,584200301,2,554670510
1044,122776598,22,584203117,2,338481724
1044,338473999,15,584203117,2,338481724
16136,481434637,13,584200301,2,338481972
1044,13261833,9,584203117,2,338481724
16136,480361498,26,584200301,2,338481972
13956,477752346,26,584200314,2,554670510
13956,358583328,32,584200314,2,554670510
14225,190399490,2,584200314,2,553187333
13630,358583328,32,584200314,2,554670612
13442,434922509,13,565509843,2,565508914
13442,140943374,14,565510147,2,565508914
13442,10003470,14,565510147,2,565508914
13442,163636234,10,565510147,2,565508914
13442,323746825,9,565510147,2,565508914
13442,144725009,17,565510147,2,565508914
14798,121756678,6,556619444,2,556612320
13442,259376147,19,565510147,2,565508914
13956,423069724,28,584200314,2,554670510
8210,69273606,6,582992308,2,546991994
10468,266658830,14,584105607,2,339044312
13899,323061779,19,584200314,2,554670433
13442,146883593,9,565509528,2,565508914
9194,137559046,6,562165051,2,556612688
13956,214624274,18,584200314,2,554670510
1044,428753952,32,584203134,2,338481724
13630,423069724,28,584200314,2,554670612
5329,229299206,6,583887268,2,583887727
2412,213586953,9,556613829,2,556611266
3867,12085257,9,554670750,2,565739263
10202,307307529,9,556618840,2,556618244
9552,131440655,15,554670878,2,584112390
14798,143331364,36,556619444,2,556612320
4203,309603342,14,565739711,2,565739051
10202,423354377,9,556618904,2,556618244
10202,161481737,9,556618730,2,556618244
9961,45339654,6,562164819,2,546992075
10202,118216710,6,556618752,2,556618244
13983,339293186,2,583907328,2,566630517
5227,410286108,28,554670878,64,584105747
13899,423069724,28,584200314,2,554670433
2847,142319622,6,554784273,2,565523223
2847,223390733,13,554783932,2,565523223
5802,385447949,13,576732826,2,565526898
8246,27932682,10,558261811,2,582633930
11269,2098186,10,565506890,2,140157580721311
8246,301097997,13,558261684,2,582633930
12652,311456780,12,584105877,2,140157580724306
11403,455165961,9,576732693,2,565506011
13630,385124376,24,584200314,2,554670612
1869,18494475,11,565521050,2,565510695
13227,57191430,6,584105607,2,556615275
13402,531816461,13,576732780,2,565521388
11403,162361357,13,576729541,2,565506011
8976,203027462,6,565520093,2,565506848
13442,401206285,13,565509351,2,565508914
15588,447323142,6,558261987,2,576732164
15588,99774474,10,558261414,2,576732164
5802,313096198,6,576733693,2,565526898
8210,39527430,6,582992438,2,546991994
13899,389881892,36,584200314,2,554670433
15588,203580425,9,558261301,2,576732164
2883,92189709,13,565524100,2,554670295
2883,384900107,11,565524218,2,554670295
2225,385530889,9,556613215,2,556611155
4597,91998218,10,554839643,2,554840019
13665,211380234,10,140157580724196,2,565524501
1964,86089734,6,548307704,2,565740192
7362,361254922,10,565741066,2,565742568
13182,421240838,6,565740253,2,140157580734672
4807,221833222,6,565741490,2,140157580123843
7362,63059977,9,565740977,2,565742568
10579,46877707,11,565740180,2,565739991
8998,36806667,11,565740684,2,565740166
118,138222608,16,565741462,2,565741058
5199,279650313,9,565740006,2,140157580721311
13442,396462097,17,565509528,2,565508914
5802,336373774,14,576733772,2,565526898
8976,253621262,14,565507513,2,565506848
15512,107498505,9,140157580123812,2,140157580727362
14396,188390406,6,562152292,2,562216918
4807,52721679,15,565742597,2,140157580123843
14798,224782356,20,556619444,2,556612320
5496,323603462,6,565752204,2,582634978
6324,485755918,14,584105864,2,583882884
8998,22184966,6,565740309,2,565740166
4203,26219534,14,565739426,2,565739051
4780,491286537,9,565741269,2,140157580123816
15951,523906057,9,554670351,2,582738799
8246,140040198,6,558261729,2,582633930
11315,123950086,6,577239023,2,140157580727565
5635,186382342,6,577239082,2,577238947
5775,105144334,14,577238727,2,140157580721311
15938,425490468,36,554670878,64,584122184
4203,515044358,6,565739605,2,565739051
12330,40127502,14,582736618,2,554839960
4602,311729165,13,569513697,2,339044254
5797,22238214,6,140157580727321,2,565739869
7612,343666699,11,577239050,2,140157580734672
5635,78652428,12,577239635,2,577238947
6101,67763209,9,565522893,2,565545079
13906,294822924,12,558261811,2,576732164
14376,181511181,13,576729541,2,584112390
16365,535946246,6,565752404,2,582635017
11603,342891533,13,565740213,2,140157580727405
5243,406417418,10,577239576,2,577239869
16120,33226762,10,584105877,2,140157580727522
13906,485747722,10,558261987,2,576732164
13906,424137742,14,558261414,2,576732164
13906,163039249,17,558261652,2,576732164
2847,357222413,13,565524341,2,565523223
2847,164703238,6,565524384,2,565523223
1044,283771930,26,584203134,2,338481724
13906,360342538,10,558261301,2,576732164
13906,27834379,11,558261684,2,576732164
5635,230354954,10,577239984,2,577238947
2527,511957002,10,562159313,2,140157580168267
14798,512364565,21,556619444,2,556612320
2006,254536714,10,565505278,2,584055254
405,486588425,9,583886562,2,478126055
1304,227545097,9,573192236,2,573191958
1304,219371526,6,573192340,2,573191958
15512,521261062,6,574420439,2,140157580727362
5199,185325574,6,574420649,2,140157580721311
11603,280052742,6,140157580123812,2,140157580727405
1304,520687629,13,573192112,2,573191958
334,351371274,10,573189448,2,554670392
7116,239100930,2,362194520,2,362187098
334,481020937,9,573189240,2,554670392
5329,375056393,9,583887208,2,583887727
11294,36379654,6,140157580123812,2,140157580727400
5802,396004358,6,576733505,2,565526898
12935,165213190,6,574421048,2,140157580123843
11105,386941961,9,556612628,2,546992061
334,419039238,6,573189619,2,554670392
14376,222324745,9,576732683,2,584112390
5309,505095174,6,574420449,2,140157580721211
13665,285910029,13,577238299,2,565524501
15120,353393674,10,583671108,2,584106008
11105,377616386,2,556612628,2,546992061
7496,449951761,17,565522705,2,584112390
13906,292818958,14,558261729,2,576732164
13307,319494153,9,582737074,2,554839771
2847,128680969,9,565524531,2,565523223
4597,406151185,17,554839632,2,554840019
4733,23789582,14,554839828,2,554776245
4733,132124688,16,554839583,2,554776245
13899,64308237,13,584200314,2,554670433
14636,300042254,14,576732836,2,565525448
1359,15326217,9,576732924,2,565523167
15317,55073794,2,573188444,2,573193189
14798,434304032,32,556619437,2,556612320
2883,101337104,16,565523977,2,554670295
2527,343119881,9,562212928,2,140157580168267
1304,67729423,15,573192553,2,573191958
12685,337357834,10,565510805,2,565514215
4060,3320841,9,554670279,2,558261672
6629,261285898,10,573191938,2,140157579686043
2337,391737350,6,584112205,2,335347473
10210,241112082,18,576732924,2,576733788
2228,115444742,6,565510446,2,584055576
2006,455836682,10,565510446,2,584055254
5243,665609,9,577239360,2,577239869
5199,61848589,13,565740023,2,140157580721311
8808,275266570,10,935831533,2,582111256
10579,489381897,9,565743426,2,565739991
